GemID;Gemeinde; ; ; ; ;GebID;Gebäude; ; ;Baujahr;m2;Jahr;ZId;Zähler;Typ;Einheit;Medium;MGruppe;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Jahr;MIND;MINW;MAXD;MAXW;MIND1;MINW1
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;865988;Alte Post;AH;01;1968;342;2025;866187;Erdgas Hauptzähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;865988;Alte Post;AH;01;1968;342;2025;923961;Gaszähler;H;m³;NGas;Wärme;854,92;770,52;573,26;314,56;256,69;68,54;67,33;59,25;265,72;351,29;739,91;764,57;5.086,55;14.02.2025;1985,627;27.10.2025;514,619;22.03.2026;3600,88
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;583745;Gemeindeamt;GA;01;1990;578;2025;821806;Biowärme WP Hauptzähler;H;kWh;Biowärmepumpe;Wärme;3.233,86;2.888,14;3.197,58;441,57;361,77;350,1;361,77;361,77;350,1;315,09;;;;03.01.2025;3342;27.10.2025;2439;;
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;584226;"Heimatmuseum/""Alte Schule""";KU;01;1990;550;2025;613416;Erdgas Hauptzähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;584226;"Heimatmuseum/""Alte Schule""";KU;01;1990;550;2025;1061018;Luft-Wasserwärmepumpe;H;kWh;Biowärmepumpe;Wärme;13.041,49;7.151,79;;;;;;;;;;;;08.01.2025;13,085;17.02.2025;31552;;
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;864068;Pensionistentreff;VAZ;01;1920;100;2025;864489;Erdgaszähler;H;m³;NGas;Wärme;288,83;266,83;224,89;130,14;82,2;4,58;0,11;0;0;;;;;14.02.2025;670,827;02.09.2025;0;;
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;584206;Volksschule mit Hort und Kindergärten;VS;02;1990;2205;2025;613372;Erdgas Hauptzähler;H;m³;NGas;Wärme;2.498,85;3.510,71;638,37;2.334,18;2.401,89;589,01;990,08;677,01;860,17;908,08;878,79;908,08;17.195,22;14.02.2025;5803,79;02.09.2025;579,53;25.03.2026;5975,77
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;584206;Volksschule mit Hort und Kindergärten;VS;02;1990;2205;2025;1067089;Pellets;H;kg;Pellets_Gewicht;Wärme;;;;;;;;;;;;;;;;;;;
579465;Absdorf;NOM;32101;Tulln;KEM Wagram;873264;Volksschule TestAbsdorf1;VS;;1980;500;2025;873461;Biowärmezähler;H;MWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;580195;Bauhof aufgelassen;BH;01;1900;140;2025;587608;Erdgas Hauptzähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
