ReadingYear;GemID;Gemeinde;GebID;Gebäudename;ZId;Zähler;Baujahr;m2;Einheit;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;AnnualTotal
2025;30101;Testgemeinde Amstetten;01001;Gemeindeamt Amstetten;ATLEBTEST0000000001;Stromzähler 1;2021;1192,00;kWh;8116,69;7132,95;7012,78;5714,76;5709,45;5239,02;4537,02;5148,35;5919,71;6635,08;7900,61;7581,19;76647,61
2025;30101;Testgemeinde Amstetten;01002;Volksschule Amstetten;ATLEBTEST0000000002;Stromzähler 2;2017;2375,00;kWh;8168,34;7933,51;7045,09;7021,61;5725,03;5751,71;5299,08;5348,53;6143,22;7564,00;7782,93;9534,10;83317,15
2025;30101;Testgemeinde Amstetten;01003;Kindergarten Amstetten;ATLEBTEST0000000003;Stromzähler 3;1964;2167,00;kWh;7485,37;7630,41;6090,33;5540,86;4960,67;4667,82;4591,02;4846,47;5200,41;5679,01;7206,35;8234,21;72132,93
2025;30101;Testgemeinde Amstetten;01004;Feuerwehrhaus Amstetten;ATLEBTEST0000000004;Stromzähler 4;1989;1324,00;kWh;4985,10;4661,77;4066,29;3620,23;3488,37;2991,90;3212,96;2855,69;3508,33;3947,81;4307,66;5159,85;46805,96
2025;30101;Testgemeinde Amstetten;01005;Bauhof Amstetten;ATLEBTEST0000000005;Stromzähler 5;1972;3436,00;kWh;5210,82;4455,42;4237,77;3835,68;3572,40;3368,12;3366,94;3414,10;3580,19;4223,38;5011,96;5033,58;49310,36
2025;30101;Testgemeinde Amstetten;01006;Sporthalle Amstetten;ATLEBTEST0000000006;Stromzähler 6;1989;1991,00;kWh;1148,78;1212,41;1083,10;895,10;891,22;801,02;667,60;684,43;844,99;894,42;1099,39;1259,45;11481,91
2025;30101;Testgemeinde Amstetten;01007;Kulturzentrum Amstetten;ATLEBTEST0000000007;Stromzähler 7;1993;3182,00;kWh;6697,99;6192,28;6065,34;5355,22;5254,16;4821,48;4224,32;4438,52;5531,23;6159,30;6483,39;7463,55;68686,78
2025;30101;Testgemeinde Amstetten;01008;Musikschule Amstetten;ATLEBTEST0000000008;Stromzähler 8;1969;3198,00;kWh;2179,52;1916,20;2059,97;1727,19;1410,85;1371,78;1319,15;1297,71;1548,50;1876,00;1845,00;2471,55;21023,42
2025;30101;Testgemeinde Amstetten;01009;Bibliothek Amstetten;ATLEBTEST0000000009;Stromzähler 9;2003;1239,00;kWh;8543,32;8188,95;7321,93;5620,00;5263,16;4656,08;5408,10;4914,84;5977,46;6685,41;7282,23;8577,74;78439,22
2025;30101;Testgemeinde Amstetten;01010;Mehrzweckhalle Amstetten;ATLEBTEST0000000010;Stromzähler 10;1996;3975,00;kWh;3631,17;3380,82;2837,49;2787,31;2214,57;2019,41;2290,23;2095,03;2259,68;2724,31;2873,36;3574,13;32687,51
2025;30201;Testgemeinde Baden;02001;Gemeindeamt Baden;ATLEBTEST0000000011;Stromzähler 1;1991;2698,00;kWh;9141,83;10109,31;9014,13;7170,44;7510,17;6277,72;6197,14;5948,32;7578,45;7576,32;8344,75;9401,52;94270,10
2025;30201;Testgemeinde Baden;02002;Volksschule Baden;ATLEBTEST0000000012;Stromzähler 2;1966;521,00;kWh;6127,07;5638,23;5111,36;4430,82;4607,93;3757,71;3482,59;4002,27;4700,81;4710,01;5858,57;5878,38;58305,75
2025;30201;Testgemeinde Baden;02003;Kindergarten Baden;ATLEBTEST0000000013;Stromzähler 3;2007;1905,00;kWh;4649,22;4291,01;3944,28;3343,13;3240,43;2716,72;2768,91;2914,35;3408,07;3968,08;4506,58;5052,79;44803,57
2025;30201;Testgemeinde Baden;02004;Feuerwehrhaus Baden;ATLEBTEST0000000014;Stromzähler 4;1960;754,00;kWh;3515,27;3382,29;2874,65;3086,70;2476,74;2162,13;2102,81;2130,66;2514,98;3014,63;3685,88;4073,69;35020,43
2025;30201;Testgemeinde Baden;02005;Bauhof Baden;ATLEBTEST0000000015;Stromzähler 5;2018;2375,00;kWh;10385,34;9532,65;9376,92;7280,96;6974,32;6605,24;5973,54;6819,51;6974,82;7614,47;8748,64;10799,77;97086,18
2025;30201;Testgemeinde Baden;02006;Sporthalle Baden;ATLEBTEST0000000016;Stromzähler 6;2005;2939,00;kWh;7642,36;8103,73;7233,88;6125,86;5463,82;5569,52;5159,78;5694,00;6108,26;7456,93;6846,11;7859,36;79263,61
2025;30201;Testgemeinde Baden;02007;Kulturzentrum Baden;ATLEBTEST0000000017;Stromzähler 7;2022;2128,00;kWh;5007,87;4760,54;4158,83;4121,40;3435,78;3042,59;2956,34;3059,78;3833,31;4009,30;4386,45;4943,35;47715,54
2025;30201;Testgemeinde Baden;02008;Musikschule Baden;ATLEBTEST0000000018;Stromzähler 8;1967;3564,00;kWh;10209,04;9031,71;8387,46;7974,28;6458,76;5795,27;6412,52;6163,84;6687,03;7179,43;7985,66;8991,61;91276,61
