datetime_from_utc;1/4h
01.04.2024 00:00;-2,36
01.04.2024 00:15;-2,6
01.04.2024 00:30;-2,58
01.04.2024 00:45;-2,92
01.04.2024 01:00;-2,74
01.04.2024 01:15;-2,81
01.04.2024 01:30;-2,93
01.04.2024 01:45;-2,51
01.04.2024 02:00;-2,4
01.04.2024 02:15;-2,73
01.04.2024 02:30;-3
01.04.2024 02:45;-2,42
01.04.2024 03:00;-2,62
01.04.2024 03:15;-2,65
01.04.2024 03:30;-2,42
01.04.2024 03:45;-2,29
01.04.2024 04:00;-2,74
01.04.2024 04:15;-2,32
01.04.2024 04:30;-2,64
01.04.2024 04:45;-3,07
01.04.2024 05:00;-2,22
01.04.2024 05:15;-2,67
01.04.2024 05:30;-2,11
01.04.2024 05:45;-2,82
01.04.2024 06:00;-1,44
01.04.2024 06:15;-0,01
01.04.2024 06:30;0,13
01.04.2024 06:45;-1,97
01.04.2024 07:00;-6,73
01.04.2024 07:15;-6,45
01.04.2024 07:30;-5,89
01.04.2024 07:45;-3,97
01.04.2024 08:00;-2,06
01.04.2024 08:15;-2,45
01.04.2024 08:30;-1,02
01.04.2024 08:45;1,36
01.04.2024 09:00;2,01
01.04.2024 09:15;3,33
01.04.2024 09:30;4,42
01.04.2024 09:45;11,42
01.04.2024 10:00;13,2
01.04.2024 10:15;11,38
01.04.2024 10:30;11,22
01.04.2024 10:45;10,69
01.04.2024 11:00;9
01.04.2024 11:15;7,16
01.04.2024 11:30;7,95
01.04.2024 11:45;7,13
01.04.2024 12:00;14,33
01.04.2024 12:15;14,71
01.04.2024 12:30;12,46
01.04.2024 12:45;7,59
01.04.2024 13:00;3,57
01.04.2024 13:15;2,08
01.04.2024 13:30;5,77
01.04.2024 13:45;-0,62
01.04.2024 14:00;2,6
01.04.2024 14:15;-1,75
01.04.2024 14:30;-1,78
01.04.2024 14:45;-2,85
01.04.2024 15:00;-2,3
01.04.2024 15:15;-3,12
01.04.2024 15:30;-6,19
01.04.2024 15:45;-6,49
01.04.2024 16:00;-4,35
01.04.2024 16:15;-9,93
01.04.2024 16:30;-11,07
01.04.2024 16:45;-11,23
01.04.2024 17:00;-10,98
01.04.2024 17:15;-8
01.04.2024 17:30;-6,56
01.04.2024 17:45;-6,45
01.04.2024 18:00;-6,29
01.04.2024 18:15;-6,3
01.04.2024 18:30;-6,9
01.04.2024 18:45;-6,38
01.04.2024 19:00;-6,81
01.04.2024 19:15;-7,8
01.04.2024 19:30;-8,93
01.04.2024 19:45;-11,93
01.04.2024 20:00;-10,9
01.04.2024 20:15;-10,61
01.04.2024 20:30;-9,54
01.04.2024 20:45;-7,25
01.04.2024 21:00;-7,74
01.04.2024 21:15;-6,76
01.04.2024 21:30;-6,79
01.04.2024 21:45;-7,17
01.04.2024 22:00;-7,15
01.04.2024 22:15;-7,06
01.04.2024 22:30;-7,41
01.04.2024 22:45;-2,67
01.04.2024 23:00;-2,31
01.04.2024 23:15;-2,11
01.04.2024 23:30;-2,82
01.04.2024 23:45;-2,41
02.04.2024 00:00;-2,71
02.04.2024 00:15;-2,49
